business_id,name
MTSW4McQd7CbVtyjqoe9mw,st honore pastries
MUTTqe8uqyMdBl186RmNeA,tuna bar
ROeacJQwBeh05Rqg7F6TCg,bap
QdN72BWoyFypdGJhhI5r7g,bar one
Mjboz24M9NlBeiOJKLEd_Q,desandro on main
aPNXGTDkf-4bjhyMBQxqpQ,craft hall
ppFCk9aQkM338Rgwpl2F5A,wawa
3BJxm-HnvzdwD1zjmSbmyQ,golden chopstick chinese restaurant
WYYdQDjx-DsCanlP0DpImQ,j sushi
O1oZpbZNDMH_gz8DhsZCdA,wendy's
bTve2mwLk5Zc01vRKqc2KQ,red hook coffee & tea
bqmX882_6AxVA_uHEQ70sQ,shanghai station
n8ecak12IF_jhnPNs37AZA,baltic bakery
_T0cPZE2ZJOTTlYYKMP64Q,brown sugar bakery & cafe
VbItL6RDULtnw4YvB6EhVg,jon's bar & grille
e8pMCk4bE0U4qk7z59Lxkg,federal donuts
V-96iACFgPmVjjKACGxd7Q,fusion pizza & grill
0CEUpFtaKhxbmrbSdP9MUQ,acadia
GVqXNt0HKJLpciN9ePxnWw,crown fried chicken
dChRGpit9fM_kZK5pafNyA,the love
QWqKTWQ2OiDgo3dzNkpung,jong ka jib
7mpYTDb24SywNMRn3yeakQ,the twisted tail
5iuo1kvv0XZMS0bUOoLz2Q,bistro st. tropez
bchZXVE4feVx4Q5rhIRCGg,ny bagel cafe & deli
ngvE1G9IckUO-ljZBFo23w,mumbai bistro
46_2e1hnQ4csLrYnhn6bkw,whetstone tavern
TGfPJHImEq6AQL9a1laxlg,chick-fil-a
CPgWuWGZ4v2sZr5_-1kluw,checkers
VCkSUsdL5P0p16DAPxVROA,ny bagel & deli shop
PW5eZM5RAQEhy3wgovChhQ,cafe victoria's
yFqq66GxRjnhZXPgjA6hnw,kfc
kGjpBqAqG4mIuFSgU2KKEA,the royal indian cuisine
kLSEk3qXY1KdtFjxHJ9pww,mcdonald's
kfGz2E7Y5FLXJyiKbQYfZg,the irish times
PdMXmOWDRHICAx6SLgu1dQ,24
JomDoQafikclSVVCPkWjnA,cedar park cafe
kq5Ghhh14r-eCxlVmlyd8w,the coventry deli
MYoRNLb5chwjQe3c_k37Gg,sean thorntons public house
pP4q0Mym-qt20nRqTKbzhQ,morton's the steakhouse
y1HgVnt4K5owmYXC5yXLGg,flambo caribbean restaurant
RrqRin8BYGrTlJbCDwtLzA,wawa
IgNDlyLERBwFGphgcC5VDQ,cosi
